id,text,business,entertainment,health,all_labels
45,"Amazon workers in multiple countries stage coordinated strikes demanding better wages and working conditions. The labor action affects warehouses across the United States, United Kingdom, and Germany during the crucial holiday shopping season. Union representatives say the strikes could expand if negotiations with management fail to produce results.",1,0,0,business
46,"China's economy grows at 5.2% in 2024, exceeding government targets despite ongoing trade tensions and property sector challenges. The growth was driven by strong manufacturing exports and government stimulus measures. However, analysts express concern about the sustainability of this growth amid demographic headwinds and geopolitical uncertainties.",1,0,0,business
47,Cryptocurrency markets experience significant volatility as regulatory frameworks tighten globally. Bitcoin and Ethereum prices fluctuate wildly following announcements from the US Securities and Exchange Commission regarding new compliance requirements. Industry leaders call for clearer regulations while maintaining that blockchain technology remains transformative.,1,0,0,business
48,"Global supply chain disruptions ease as shipping costs normalize and port congestion clears. Container shipping rates have fallen by 60% from their pandemic peaks, providing relief to manufacturers and retailers. Logistics experts attribute the improvement to increased vessel capacity and more efficient port operations worldwide.",1,0,0,business
49,"Major banks announce massive job cuts as automation and artificial intelligence reshape the financial services industry. JPMorgan Chase, HSBC, and Deutsche Bank plan to eliminate thousands of positions over the next two years. The banks emphasize that AI will handle routine tasks while human employees focus on complex client relationships.",1,0,0,business
50,"Renewable energy investments surpass fossil fuel funding for the first time in history. Global clean energy projects attracted $1.7 trillion in 2024, compared to $1.1 trillion for oil, gas, and coal. The shift reflects growing investor confidence in the energy transition and supportive government policies worldwide.",1,0,0,business
51,"Luxury goods market shows resilience despite economic uncertainty, with brands like Louis Vuitton and Hermès reporting strong sales growth. The sector benefits from wealthy consumers' continued spending and expansion in Asian markets. Industry analysts predict sustained demand for high-end products even as middle-market retailers struggle.",1,0,0,business
52,"Food prices surge globally as extreme weather events disrupt agricultural production across multiple continents. Wheat, rice, and corn prices have increased by 25-40% compared to last year. The United Nations warns that rising food costs could push millions more people into food insecurity, particularly in developing nations.",1,0,0,business
53,"Pharmaceutical giant Pfizer announces breakthrough in cancer treatment, sending its stock price soaring. The new therapy shows promising results in clinical trials for multiple cancer types. Regulatory approval is expected within 18 months, potentially creating a multi-billion dollar revenue stream for the company.",1,0,0,business
54,"Commercial real estate markets face continued pressure as remote work trends persist post-pandemic. Office vacancy rates in major cities reach record highs, forcing property owners to convert buildings into residential units. The transformation is reshaping urban landscapes and challenging traditional real estate investment models.",1,0,0,business
55,"Electric vehicle sales exceed 15 million units globally in 2024, representing 18% of total car sales. China leads the market with 60% of global EV purchases, while European and North American adoption accelerates. Traditional automakers scramble to expand their electric offerings to compete with Tesla and Chinese manufacturers.",1,0,0,business
56,"Semiconductor shortage finally eases as new fabrication plants come online worldwide. Intel, TSMC, and Samsung have invested over $300 billion in expanding chip production capacity. The increased supply helps automotive and consumer electronics manufacturers recover from years of component shortages.",1,0,0,business
57,"Streaming services face subscriber growth challenges as market saturation sets in. Netflix, Disney+, and other platforms report slowing user acquisition and increased churn rates. Companies are exploring advertising-supported tiers and cracking down on password sharing to boost revenue amid intensifying competition.",1,0,0,business
58,"Global tourism industry rebounds strongly with international arrivals surpassing pre-pandemic levels. Airlines and hotels report record bookings as pent-up travel demand continues. However, overtourism concerns prompt some destinations to implement visitor caps and sustainability measures.",1,0,0,business
59,Artificial intelligence startups attract record venture capital funding despite broader tech sector slowdown. Companies developing generative AI tools and enterprise AI solutions raise billions in new financing rounds. Investors bet that AI will drive the next wave of technological innovation and economic growth.,1,0,0,business
60,"Coffee prices hit decade highs as climate change impacts major growing regions in Brazil and Vietnam. Extreme weather patterns reduce crop yields, creating supply concerns for the world's most popular beverage. Major coffee chains consider price increases to offset rising commodity costs.",1,0,0,business
61,Retail apocalypse continues as major department store chains file for bankruptcy protection. Changing consumer preferences and e-commerce competition force traditional retailers to close hundreds of locations. The closures accelerate the transformation of shopping malls into mixed-use developments.,1,0,0,business
62,Hydrogen economy gains momentum as governments and corporations invest in clean fuel infrastructure. Major energy companies announce plans for hydrogen production facilities and distribution networks. Proponents argue hydrogen will be crucial for decarbonizing heavy industry and long-distance transportation.,1,0,0,business
63,Cybersecurity spending reaches new heights as companies respond to escalating digital threats. Global cybersecurity market is projected to exceed $300 billion annually by 2026. High-profile data breaches and ransomware attacks drive organizations to prioritize security investments and hire specialized personnel.,1,0,0,business
64,Fast fashion industry faces mounting pressure over environmental and labor practices. Major brands commit to sustainability initiatives and supply chain transparency following consumer activism and regulatory scrutiny. Critics question whether these commitments represent genuine change or merely greenwashing.,1,0,0,business
65,"Space economy expands rapidly as private companies launch commercial satellites and space tourism ventures. SpaceX, Blue Origin, and other firms compete for government contracts and private customers. The growing industry creates thousands of jobs and drives innovation in aerospace technology.",1,0,0,business
66,"Central banks worldwide explore digital currency initiatives as cash usage declines. China leads with its digital yuan rollout, while the Federal Reserve and European Central Bank conduct pilot programs. Experts debate the implications for monetary policy, privacy, and financial system stability.",1,0,0,business
67,"Gig economy workers win landmark legal victories securing employee benefits and protections. Courts in multiple jurisdictions rule that platform companies must classify workers as employees rather than independent contractors. The decisions could fundamentally reshape business models for Uber, DoorDash, and similar companies.",1,0,0,business
68,Biotechnology sector experiences investment boom as gene therapy and personalized medicine advance. Companies developing CRISPR-based treatments and mRNA vaccines attract billions in funding. Regulatory agencies work to establish frameworks for approving these novel therapeutic approaches.,1,0,0,business
69,"Global shipping industry commits to zero emissions by 2050, announcing massive fleet modernization plans. Major shipping lines will invest in alternative fuels including ammonia, hydrogen, and methanol. The transition represents one of the largest industrial transformations in history, with costs estimated in the hundreds of billions.",1,0,0,business
70,"Quantum computing achieves significant milestone as IBM and Google demonstrate practical applications. The breakthrough could revolutionize drug discovery, financial modeling, and cryptography. Tech giants race to develop commercially viable quantum systems while addressing technical challenges around error correction and scalability.",1,0,0,business
71,"Taylor Swift makes history as she joins Songwriters Hall of Fame. Taylor Swift has become the youngest female artist inducted into the Songwriters Hall of Fame. It follows a glittering few years for the 36-year-old pop superstar, who broke her own sales record with her latest album, The Life of a Showgirl, in October.",0,1,0,entertainment
72,"Harry says Mail publisher made his wife Meghan's 'life a misery'. The Duke of Sussex was visibly emotional as he told a court the life of his wife, the Duchess of Sussex, had been made 'an absolute misery' by the publisher of the Daily Mail and the Mail on Sunday. Prince Harry was speaking as he concluded his evidence in his case against Associated Newspapers Limited (ANL) at the High Court, much of which focused on articles about his relationships before meeting Meghan.",0,1,0,entertainment
73,"Olivia Dean and Lola Young dominate Brit Award nominations. Both are on the shortlist for artist of the year, alongside former Brit-winners such as Lily Allen, Dave and Little Simz. Sam Fender follows his Mercury Prize win with four nominations, including album of the year and best single for his duet with Dean, Rein Me In.",0,1,0,entertainment
74,"Wuthering Heights to The Odyssey: 16 of the most exciting films coming up in 2026. From Emerald Fennell's divisive new adaptation of Emily Brontë's Wuthering Heights to Christopher Nolan's wildly anticipated ancient Greek epic, here are BBC critics' picks of the films to see in the year ahead.",0,1,0,entertainment
75,"There were a lot of threads working against this happening': How Stevie Wonder's joyful hit song changed the US. On 15 January 1981, music legends Diana Ross and Gladys Knight, along with the 'godfather of rap', Gil Scott-Heron, joined renowned musician Stevie Wonder on stage at the National Mall in Washington, DC. The 50,000-strong audience chanted: 'Martin Luther King Day, we took a holiday,' according to Scott-Heron's 2012 memoir, The Last Holiday, as the stars began to sing Wonder's hit song, Happy Birthday, a tribute to the murdered civil rights leader.",0,1,0,entertainment
76,"'It's always been bleak - but it's got even darker': How Industry became the most nightmarish show on TV. Back in 2020, a new drama about a group of postgraduate bankers trying to make their way in London's high-finance scene first aired on TV. At the time, the biggest story around the joint HBO and BBC series Industry was that the first episode was directed by Girls creator Lena Dunham.",0,1,0,entertainment
77,The Pitt to A Knight of the Seven Kingdoms: 12 of the best TV shows to watch this January. From the return of HBO's award-winning medical drama to a new Game of Thrones prequel and the latest Harlan Coben mystery on Netflix.,0,1,0,entertainment
78,"Beckham v Peltz Beckham: Could Brooklyn torpedo the family brand? We've tried to give our children the most normal upbringing as possible,' David said in his 2023 Netflix documentary, as Brooklyn was shown checking up on his cooking. 'But you've got a dad that was England captain and a mum that was Posh Spice.' David went on to say how proud he was, and 'so in awe of my children and the way they've turned out' - making the point that his family had withstood the pressures of fame.",0,1,0,entertainment
79,"'It's why Chaplin was in a class by himself': The story behind City Lights and cinema's greatest ever final shot. Ninety-five years after its release, Charlie Chaplin's silent comedy, City Lights, is often cited as one of the greatest films ever made – and its final moments are key to its reputation. When Charlie Chaplin was asked by Life Magazine in 1966 which of his films he regarded as his favourite, he gave the honour to City Lights, before downplaying his achievements with, 'I think it's solid, well done.'",0,1,0,entertainment
80,"Jason Statham: I've taken a lot of stunts too far. He has built a career on high-speed chases, bruising fight scenes and gravity-defying stunts, but Jason Statham says that even after decades in action cinema, he is still determined to push himself 'a little bit further than the last time'. Speaking to BBC News at the premiere of his latest film Shelter, Statham admitted that his commitment to doing his own stunts has sometimes comes at a cost.",0,1,0,entertainment
81,"Chris Pratt on new film Mercy: I asked to be locked into an executioner's chair. Being locked barefoot in an executioner's chair sounds uncomfortable, but that is what Chris Pratt requested for his latest film, Mercy. More familiar as a wisecracking action hero in blockbusters like Guardians of the Galaxy and Jurassic World, this role is quite a departure for him.",0,1,0,entertainment
82,"How first year of music city 'energised' its scene. Being part of an international music network has energised a city's music scene with demand for live gigs increasing, independent venues have said. In January last year, Sunderland became only the second city in the UK to join the Music Cities Network.",0,1,0,entertainment
83,"Jacob Alon crowned Brits Critics' Choice winner. Scottish singer-songwriter Jacob Alon has been named as the winner of the Brits Critics' Choice Award. The Fife-born musician saw off competition from soul singer Sienna Spiro and east London artist Rose Gray, known for her infectious dance-pop, to claim the title.",0,1,0,entertainment
84,"From London Tube driver to Will Smith's double. Walking along a remote beach in Papua New Guinea, Shad Ellis found himself having a heart-to-heart with Will Smith, one of the most recognisable faces on the planet. The twist? The face the London Tube driver's gaze alighted on looked uncannily like his own. The 47-year-old has made a career out of being a Will Smith lookalike and tribute artist since he was 18.",0,1,0,entertainment
85,How Stevie Wonder's hit song helped create a new US holiday?,0,1,0,entertainment
86,"Top artists coming to Birmingham in 2026. There are some big names coming to Birmingham to perform. Across the city centre's venues, the likes of Florence and the Machine, Raye and the Smyths are just some of the musicians taking the the stage, as well as Alex Warren whose song Ordinary was one of the UK's biggest songs of 2025.",0,1,0,entertainment
87,The mysterious singer with millions of streams - but who (or what) is she?,0,1,0,entertainment
88,Was A$AP Rocky's comeback album worth the eight-year wait?,0,1,0,entertainment
89,Weekly quiz: Where are BTS kicking off their comeback tour?,0,1,0,entertainment
90,"Joy Awards 2026 Turns Riyadh Into a Global Live Music Hub With Katy Perry, Robbie Williams and Liz Mitchell of Boney M.",0,1,0,entertainment
91,"Thalia to Cohost Premio Lo Nuestro 2026: 'It's a Celebration of Our Music, Our Roots'.",0,1,0,entertainment
92,"Travis Scott Responds to Pusha T Diss: 'If You Got to Drop Trav Name for the Rollout, So Be It'",0,1,0,entertainment
93,Kate Middleton & Prince William Brace as 'Seismic Revelations' About Their Relationship Come To Light,0,1,0,entertainment
94,"'We want newness, we want transformation': US fashion star Christopher John Rogers on fighting against 'quiet luxury'. The new star of US fashion Christopher John Rogers' bold designs are worn by the likes of Zendaya and Gigi Hadid. Backstage at his New York Fashion Week show, he talks style, hierarchies – and clothes as a 'tool for hope'. Connecting the dots between New York fashion's past and future might start with some actual dots. They are the size of a bottle bottom and the colour of Skittles sweets – orange, lime, cherry, grape – and hug the edges of jackets, dresses and corsets. Anne Hathaway has worn the dots.",0,1,0,entertainment
95,"I feel violated by copies of my jewellery online. A jewellery designer says she feels 'violated' after a fashion website listed a 'copied' pair of her earrings for sale, with her own photos used to promote them. Emma Farley, 49, from Burnby, East Yorkshire, said she felt 'disbelief' when she saw the jewellery being advertised on X-ZIPO, which is based in Hong Kong, for less than half the price of her originals.",0,1,0,entertainment
96,"Style trends to look out for in 2026: Bold colours, tassels and loud luxury. If your New Year's resolution is to stop wearing the same three outfits on rotation (don't worry I'm not judging) then you've come to the right place. Thanks to the way the fashion calendar works, we already know what the brightest minds in the industry think we will be wearing when the weather becomes a little warmer.",0,1,0,entertainment
97,"Five of Queen Elizabeth II's most iconic outfits - from new royal exhibit. She was arguably the most famous woman of her time, and Queen Elizabeth II's style - though restrained and often conservative - was instantly recognisable. Just as she remained a constant presence during her 70 years on the throne, so did the show-stopping hats and bright coats of her public appearances, and the tweeds, tartans and headscarves of her off-duty look.",0,1,0,entertainment
98,"TikTok seller uses grant to open first shop. A mum of three who previously sold goods via social media has opened her first permanent shop after receiving a council grant. Karissa Hughes from Madeley, Telford, started the Bouji Store in 2017, using TikTok to help grow the business.",0,1,0,entertainment
99,"Prada to launch $930 'Made in India' Kolhapuri sandals after backlash. Global fashion brand Prada has announced a line of limited-edition footwear inspired by Indian-made Kolhapuri sandals, months after it faced backlash for allegedly appropriating the sandal's design. The Italian luxury brand will make 2,000 pairs of sandals in India's Maharashtra and Karnataka states, under a deal with two state-backed entities, Reuters news agency reports.",0,1,0,entertainment
100,"Traitors stars, Sienna Miller's baby bump and more pictures from the Fashion Awards. Designers, models and celebrities, including West End Girl singer Lily Allen, Traitors star Cat Burns and fashion royalty Anna Wintour, descended on the Royal Albert Hall for the annual Fashion Awards on Monday night.",0,1,0,entertainment
101,"From egg cartons to old tights - these students turned junk into fashion. Egg boxes, bin bags, rope, and newspaper clippings are usually thrown in the bin and forgotten about, but some students have taken those materials and created some serious fashion. Junk Kouture has arrived in Belfast and students from across Northern Ireland have had the opportunity to take waste materials and turn it into fashion.",0,1,0,entertainment
102,"Halloween 2025: All the celebrity costumes at Heidi Klum's party. It is officially the scariest night of the year and, while everyone in Hollywood and beyond has been showing off their elaborate costumes, there is one party we're all watching. Heidi Klum has cemented her place as the official Queen of spooky season thanks to her wild, weird and wonderful costumes and her annual bash that attracts celebrities across the globe.",0,1,0,entertainment
103,"The 'silver' fashion influencer going viral on TikTok. 'I just want to be a fashionista.' Vivienne Truran, 81, has been embracing life as an online fashion content creator. With almost 300,000 followers on Instagram, Viv, who was born and raised in Cardiff, shares daily videos of her outfits and styling tips.",0,1,0,entertainment
104,"Galeries Lafayette to open its first store in India amid luxury boom. Iconic French luxury department store Galeries Lafayette is set to open its first flagship outlet in India, becoming the latest global brand to tap into the country's booming luxury market. The store, located in financial hub Mumbai, will open early November with plans for another one in capital Delhi.",0,1,0,entertainment
105,"Film and fashion stars celebrate cinematic style at Vogue World. Los Angeles played host to a spectacle of style and storytelling as Vogue World: Hollywood unfolded — an immersive celebration of cinema, couture and celebrity. Blending the grandeur of classic Hollywood with the innovation of contemporary fashion, the event transformed the city into a living film set, with designers, actors and artists sharing the spotlight.",0,1,0,entertainment
106,Meghan makes surprise appearance at Paris Fashion Week. The Duchess of Sussex appeared at Paris Fashion Week to support a fashion designer friend on Saturday. Meghan attended the Balenciaga show after making the solo trip across the Atlantic.,0,1,0,entertainment
107,Photographer 'over the Moon' with iconic ET recreation two years in the making. A photographer is 'over the Moon' after recreating an iconic scene from the movie ET in a photo that has been almost two years in the making.,0,1,0,entertainment
108,"Zootropolis 2 becomes Hollywood's biggest animated film ever. The film, known as Zootopia 2 in some countries, has overtaken previous record holder Inside Out 2, which made $1.69bn after its release in 2024. Zootropolis 2 is now the ninth most successful film in global box office history, behind films such as Avatar, Titanic, Avengers: Endgame and Star Wars: The Force Awakens.",0,1,0,entertainment
109,"Why A Minecraft Movie was 2025's most important film? The blockbuster based on the brick-building video game came top at the US box office – and, with their 'chicken-jockey' chaos, its colourful screenings pointed to the future of cinema.",0,1,0,entertainment
110,"Streaming giant Netflix announces record-breaking viewership for its latest original series, surpassing 200 million hours watched in the first week. The show's success demonstrates the platform's continued dominance in original content production. Industry analysts credit the series' diverse cast and compelling storytelling for its widespread appeal across global markets.",0,1,0,entertainment
111,"Taylor Swift's latest world tour becomes the highest-grossing concert series in history, generating over $2 billion in ticket sales. The tour spans five continents and includes 150 shows across 18 months. Economic studies show significant impacts on local economies, with hotels and restaurants reporting substantial revenue increases in tour cities.",0,1,0,entertainment
112,"Academy Awards ceremony introduces new category for best casting, recognizing the crucial role casting directors play in filmmaking. The decision follows years of lobbying from industry professionals. The first awards in this category will be presented at next year's ceremony, honoring work from the current film year.",0,1,0,entertainment
113,Video game industry revenues surpass $200 billion globally as mobile gaming continues explosive growth. Popular titles generate billions in microtransaction revenue while cloud gaming services expand their subscriber bases. Traditional console manufacturers adapt strategies to compete in the evolving digital entertainment landscape.,0,1,0,entertainment
114,Broadway theaters report strongest season in decades with attendance and revenue exceeding pre-pandemic levels. Hit musicals and star-studded revivals draw audiences back to New York's theater district. Producers credit pent-up demand and innovative marketing strategies for the remarkable recovery.,0,1,0,entertainment
115,K-pop phenomenon BTS announces reunion tour after members complete mandatory military service. Pre-sale tickets crash multiple websites as millions of fans attempt to secure seats. The group's return is expected to generate hundreds of millions in revenue and boost South Korea's cultural export industry.,0,1,0,entertainment
116,"Major film studios embrace artificial intelligence for visual effects and pre-production planning. Directors and cinematographers use AI tools to visualize scenes before filming begins. However, creative guilds express concerns about job displacement and the technology's impact on artistic authenticity.",0,1,0,entertainment
